ProductID;OrderDate;ShipDate;Shipper;Zip;Country;Qty;UnitPrice;UnitCost
725;11/20/2017;11/20/2017;BD Kerschen;V6Z;Canada;1;120.6975;44.6953
767;06/11/2017;06/11/2017;BD Kerschen;M5X;Canada;1;104.9475;46.8049
767;06/13/2017;06/13/2017;SPU;T2C;Canada;1;104.9475;46.8049
767;08/17/2017;08/17/2017;PHL;R3G;Canada;1;104.9475;46.8049
676;12/27/2016;12/27/2016;PHL;M7Y;Canada;1;274.6625;134.1523
647;11/12/2021;11/12/2021;PHL;T6E;Canada;1;311.5875;136.1697
761;09/25/2020;09/25/2020;SPU;T2A;Canada;1;183.6975;83.9994
647;04/17/2022;04/17/2022;BD Kerschen;T2J;Canada;1;311.5875;136.1697
574;08/13/2020;08/13/2020;SpeedEx;T6P;Canada;1;300.9125;141.6317
574;11/13/2020;11/13/2020;PHL;R3W;Canada;1;300.9125;141.6317
574;11/10/2020;11/10/2020;American Eagle;V7M;Canada;1;300.9125;141.6317
574;02/23/2021;02/23/2021;BD Kerschen;L5T;Canada;1;300.9125;141.6317
574;03/18/2021;03/18/2021;The Pickup Guys;T6R;Canada;1;300.9125;141.6317
758;11/14/2017;11/14/2017;Speedissimo;V7W;Canada;1;83.9475;38.4105
758;11/21/2017;11/21/2017;BD Kerschen;R3T;Canada;1;83.9475;38.4105
758;11/26/2017;11/26/2017;BD Kerschen;V6N;Canada;1;83.9475;38.4105
2388;08/25/2018;08/25/2018;PHL;R3B;Canada;1;103.2325;60.2150
2388;09/16/2018;09/16/2018;The Pickup Guys;V6J;Canada;1;103.2325;60.2150
2371;12/23/2018;12/23/2018;The Pickup Guys;T1Y;Canada;1;190.7325;85.8326
2371;05/20/2019;05/20/2019;World Connection;V6M;Canada;1;190.7325;85.8326
2371;04/28/2020;04/28/2020;PHL;T5Y;Canada;1;190.7325;85.8326
2373;05/20/2015;05/20/2015;The Pickup Guys;R3B;Canada;1;183.7325;94.8706
2373;06/15/2015;06/15/2015;American Eagle;T3G;Canada;1;183.7325;94.8706
